Area,Years, Subscribers , Revenue 
United States and Canada,Q1 - 2018," 60,909,000.00 "," 1,976,157,000.00 "
"Europe,  Middle East and Africa",Q1 - 2018," 29,339,000.00 "," 886,649,000.00 "
Latin America,Q1 - 2018," 21,260,000.00 "," 540,182,000.00 "
Asia-Pacific,Q1 - 2018," 7,394,000.00 "," 199,117,000.00 "
United States and Canada,Q2 - 2018," 61,870,000.00 "," 2,049,546,000.00 "
"Europe,  Middle East and Africa",Q2 - 2018," 31,317,000.00 "," 975,497,000.00 "
Latin America,Q2 - 2018," 22,795,000.00 "," 568,071,000.00 "
Asia-Pacific,Q2 - 2018," 8,372,000.00 "," 221,252,000.00 "
United States and Canada,Q3 - 2018," 63,010,000.00 "," 2,094,850,000.00 "
"Europe,  Middle East and Africa",Q3 - 2018," 33,836,000.00 "," 1,004,749,000.00 "
Latin America,Q3 - 2018," 24,115,000.00 "," 562,307,000.00 "
Asia-Pacific,Q3 - 2018," 9,461,000.00 "," 248,691,000.00 "
United States and Canada,Q4 - 2018," 64,757,000.00 "," 2,160,979,000.00 "
"Europe,  Middle East and Africa",Q4 - 2018," 37,818,000.00 "," 1,096,812,000.00 "
Latin America,Q4 - 2018," 26,077,000.00 "," 567,137,000.00 "
Asia-Pacific,Q4 - 2018," 10,607,000.00 "," 276,756,000.00 "
United States and Canada,Q1 - 2019," 66,633,000.00 "," 2,256,851,000.00 "
"Europe,  Middle East and Africa",Q1 - 2019," 42,542,000.00 "," 1,233,379,000.00 "
Latin America,Q1 - 2019," 27,547,000.00 "," 630,472,000.00 "
Asia-Pacific,Q1 - 2019," 12,141,000.00 "," 319,602,000.00 "
United States and Canada,Q2 - 2019," 66,501,000.00 "," 2,501,199,000.00 "
"Europe,  Middle East and Africa",Q2 - 2019," 44,229,000.00 "," 1,319,087,000.00 "
Latin America,Q2 - 2019," 27,890,000.00 "," 677,136,000.00 "
Asia-Pacific,Q2 - 2019," 12,942,000.00 "," 349,494,000.00 "
United States and Canada,Q3 - 2019," 67,114,000.00 "," 2,621,250,000.00 "
"Europe,  Middle East and Africa",Q3 - 2019," 47,355,000.00 "," 1,428,040,000.00 "
Latin America,Q3 - 2019," 29,380,000.00 "," 741,434,000.00 "
Asia-Pacific,Q3 - 2019," 14,485,000.00 "," 382,304,000.00 "
United States and Canada,Q4 - 2019," 67,662,000.00 "," 2,671,908,000.00 "
"Europe,  Middle East and Africa",Q4 - 2019," 51,778,000.00 "," 1,562,561,000.00 "
Latin America,Q4 - 2019," 31,417,000.00 "," 746,392,000.00 "
Asia-Pacific,Q4 - 2019," 16,233,000.00 "," 418,121,000.00 "
United States and Canada,Q1 - 2020," 69,969,000.00 "," 2,702,776,000.00 "
"Europe,  Middle East and Africa",Q1 - 2020," 58,734,000.00 "," 1,723,474,000.00 "
Latin America,Q1 - 2020," 34,318,000.00 "," 793,453,000.00 "
Asia-Pacific,Q1 - 2020," 19,835,000.00 "," 483,660,000.00 "
United States and Canada,Q2 - 2020," 72,904,000.00 "," 2,839,670,000.00 "
"Europe,  Middle East and Africa",Q2 - 2020," 61,483,000.00 "," 1,892,537,000.00 "
Latin America,Q2 - 2020," 36,068,000.00 "," 785,368,000.00 "
Asia-Pacific,Q2 - 2020," 22,492,000.00 "," 569,140,000.00 "
,,,
